Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,date,Return,Amihud_daily,Amihud_30d
2010-09-17,0.06089,0.0609,0.059,0.059,7262.0,438.94275418,0.06044378328,2010-09-17,-0.04684975767366717,0.00010673318383211127,0.00012136335826852285
2010-09-18,0.059,0.061,0.05761,0.061,7092.609,427.75509344,0.060309978097,2010-09-18,0.033898305084745894,7.924699344229016e-05,0.00011127065297319148
2010-09-19,0.06091,0.0627,0.06,0.0627,12852.17,797.36052362,0.062040925666,2010-09-19,0.02786885245901649,3.495138225867075e-05,0.0001102661017420646
2010-09-20,0.0621,0.0634,0.062,0.0621,14307.94,891.1876315,0.062286229289,2010-09-20,-0.009569377990430672,1.0737781419075577e-05,0.00010995880567615244
2010-09-21,0.06309,0.0633,0.0623,0.06265,5735.946,359.8172192,0.062730231282,2010-09-21,0.008856682769726065,2.4614393912046734e-05,0.00011060963679662193
2010-09-22,0.0624,0.0624,0.06147,0.0622,11560.4,717.32508,0.062050195495,2010-09-22,-0.0071827613727054596,1.0013258385870824e-05,0.00010899041621275316
2010-09-23,0.0621,0.063,0.0615,0.06231,15505.33,970.0930669,0.062565135144,2010-09-23,0.0017684887459807896,1.8230093651036168e-06,0.0001089472424662752
2010-09-24,0.06209,0.0624,0.06209,0.0622,684.375,42.6571,0.062330009132,2010-09-24,-0.001765366714812977,4.138506168522888e-05,0.00010995894838389761
2010-09-25,0.06222,0.0624,0.0617,0.06202,2152.5,133.05095,0.061812288037,2010-09-25,-0.002893890675241151,2.175024436308911e-05,0.0001090480935926513
2010-09-26,0.06204,0.06228,0.06186,0.062,12058.125,748.20160625,0.062049581195,2010-09-26,-0.00032247662044504466,4.3100230974015586e-07,0.00010817017723180535
2010-09-27,0.06205,0.06228,0.0619,0.0622,10752.245,668.5254443,0.06217542888,2010-09-27,0.003225806451612856,4.8252560603591314e-06,0.00010717559221838585
2010-09-28,0.06196,0.06271,0.0617,0.0619,7086.153,439.04595529,0.061958294619,2010-09-28,-0.004823151125401992,1.0985526839021189e-05,0.00010728795328215686
2010-09-29,0.062,0.062,0.0615,0.06191,23475.642,1450.79045086,0.061799820037,2010-09-29,0.00016155088852998212,1.1135370268960479e-07,0.0001070550331478896
2010-09-30,0.06174,0.0619,0.06155,0.0619,7917.025,488.14501265,0.061657631831,2010-09-30,-0.0001615247940559561,3.3089510262346855e-07,0.00010433372710240875
2010-10-01,0.06189,0.062,0.06189,0.06197,1717.45,106.4618581,0.061988330432,2010-10-01,0.0011308562197092087,1.0622172484036408e-05,0.00010099876797526258
2010-10-02,0.06188,0.06191,0.06125,0.0614,13059.737,802.51667662,0.061449681308,2010-10-02,-0.009197999031789528,1.1461442858146206e-05,0.00010084978741516149
2010-10-03,0.06139,0.0614,0.061,0.06111,7172.633,439.88129455,0.061327729238,2010-10-03,-0.004723127035830665,1.0737276384217337e-05,7.665747013552184e-05
2010-10-04,0.06113,0.062,0.06081,0.0613,33995.369,2079.88766329,0.061181499848,2010-10-04,0.003109147439044335,1.4948631572371728e-06,7.256362193712065e-05
2010-10-05,0.06132,0.06301,0.0609,0.0614,27526.613,1699.19527154,0.061729180831,2010-10-05,0.0016313213703100793,9.600552671215911e-07,7.180618368097651e-05
2010-10-06,0.06145,0.0635,0.0612,0.06281,33433.302,2091.2833326,0.062550906058,2010-10-06,0.02296416938110757,1.09808981992685e-05,7.217221362095214e-05
2010-10-07,0.06312,0.067,0.0628,0.067,43692.981,2812.79229395,0.064376296366,2010-10-07,0.06670912275115426,2.3716334439140096e-05,7.143381111609988e-05
2010-10-08,0.067,0.088,0.01,0.08685,139287.286,10784.2297451,0.077424365531,2010-10-08,0.2962686567164179,2.7472398466940362e-05,6.853796918244557e-05
2010-10-09,0.08411,0.12001,0.068,0.0938,187846.954,16104.8730071,0.085734011993,2010-10-09,0.08002302820955665,4.9688704887196355e-06,6.425975793668342e-05
2010-10-10,0.093,0.1301,0.07999,0.0965,50684.192,4889.34882748,0.096466938399,2010-10-10,0.028784648187633266,5.88721508799957e-06,6.32088967602241e-05
2010-10-11,0.091,0.103,0.091,0.095,14092.905,1395.228085,0.0990021635,2010-10-11,-0.015544041450777257,1.1140860492911636e-05,6.153780798713544e-05
2010-10-12,0.094,0.099,0.082,0.0949,25660.749,2396.8167869,0.093404007299,2010-10-12,-0.001052631578947416,4.3917899136081696e-07,3.8464391635408554e-05
2010-10-13,0.092,0.105,0.092,0.105,47557.265,4558.5239107,0.095853365636,2010-10-13,0.10642781875658591,2.334699144755457e-05,3.865106167750587e-05
2010-10-14,0.1045,0.1045,0.065,0.102,37217.28,3701.64502755,0.099460385809,2010-10-14,-0.02857142857142858,7.718576027355895e-06,3.8786080394810015e-05
2010-10-15,0.1,0.119,0.092,0.105,24643.334,2554.90521892,0.103675307039,2010-10-15,0.02941176470588247,1.1511880944967226e-05,3.53404919441258e-05
2010-10-16,0.1,0.103,0.1,0.101,6284.708,633.63076692,0.100821035268,2010-10-16,-0.03809523809523796,6.012214065995272e-05,1.901734993582834e-05
2010-10-17,0.102,0.1045,0.10001,0.102,18222.191,1857.80134986,0.101952687789,2010-10-17,0.009900990099009688,5.32941269514946e-06,1.5637224231262948e-05
2010-10-18,0.103,0.103,0.097,0.1024,25665.087,2591.6409552,0.100979239042,2010-10-18,0.0039215686274511885,1.5131604629039196e-06,1.3046096465283407e-05
2010-10-19,0.1,0.1019,0.097,0.097,6235.1,623.33733,0.099972306779,2010-10-19,-0.052734375,8.460005916860458e-05,1.47010523622812e-05
2010-10-20,0.1,0.103,0.094,0.099,31855.0,3221.08376,0.101117054152,2010-10-20,0.020618556701030855,6.401124043117356e-06,1.4556497116415926e-05
2010-10-21,0.0972,0.109,0.097,0.107,44867.0,4616.851667,0.102900832839,2010-10-21,0.08080808080808066,1.7502854030523624e-05,1.4319445787031822e-05
2010-10-22,0.1015,0.10901,0.1015,0.1025,34603.909,3665.43402971,0.105925432578,2010-10-22,-0.0420560747663552,1.1473695727565058e-05,1.4368127031754963e-05
2010-10-23,0.108,0.109,0.10449,0.1055,4423.469,481.515121,0.108854638972,2010-10-23,0.029268292682926855,6.078374573604897e-05,1.6333484910786476e-05
2010-10-24,0.108,0.19,0.108,0.11501,13800.23,1560.60996,0.113085793498,2010-10-24,0.0901421800947868,5.776086428077571e-05,1.68793449973047e-05
2010-10-25,0.09009,0.19,0.09009,0.132,30299.635,4450.000605,0.146866475619,2010-10-25,0.1477262846708982,3.3196913390284406e-05,1.7260900631544546e-05
2010-10-26,0.133,0.18,0.133,0.1503,19219.125,2995.09142,0.155839114424,2010-10-26,0.13863636363636345,4.6287857095314785e-05,1.8789462457730367e-05
2010-10-27,0.151,0.19,0.151,0.1877,65605.872,11594.017888,0.176722258764,2010-10-27,0.24883566200931484,2.1462418327546644e-05,1.9344034533303283e-05
2010-10-28,0.1845,0.191,0.1731,0.1731,21525.035,4009.66975927,0.18627936072,2010-10-28,-0.07778369738945123,1.9399028363775404e-05,1.9624484584128423e-05
2010-10-29,0.1799,0.19,0.173,0.19,28686.852,5380.4898858,0.187559439628,2010-10-29,0.09763142692085491,1.814545310800051e-05,2.022562123097212e-05
2010-10-30,0.1876,0.199,0.1875,0.1989,26708.94,5112.034034,0.191397862813,2010-10-30,0.046842105263157796,9.163105126376746e-06,2.0520028231763898e-05
2010-10-31,0.194,0.1989,0.171,0.1925,40337.756,7829.46048952,0.194097571752,2010-10-31,-0.03217697335344394,4.109730599766602e-06,2.0302946835621568e-05
2010-11-01,0.1925,0.1955,0.172,0.1955,21258.611,4049.753725,0.190499451022,2010-11-01,0.01558441558441559,3.848237854121756e-06,2.0049173335487423e-05
2010-11-02,0.192,0.195,0.1905,0.1938,5853.394,1121.3397176,0.191570859163,2010-11-02,-0.008695652173913104,7.754699166925418e-06,1.9949754094911025e-05
2010-11-03,0.1938,0.275,0.125,0.1931,61472.627,11769.6146295,0.19146106493,2010-11-03,-0.003611971104231171,3.0688949620983604e-07,1.9910154972876777e-05
2010-11-04,0.1988,0.23601,0.1934,0.23,29698.431,6229.16344661,0.209747223569,2010-11-04,0.1910926980838945,3.067710451359081e-05,2.090072328109242e-05
2010-11-05,0.2101,0.2639,0.2101,0.26,36622.072,8757.148192,0.23912213902,2010-11-05,0.13043478260869557,1.4894664307251632e-05,2.1031182151358527e-05
2010-11-06,0.262,0.5,0.2402,0.39,32756.129,9396.96179627,0.286876443681,2010-11-06,0.5,5.32086871097495e-05,2.201426057371217e-05
2010-11-07,0.46999,0.46999,0.286,0.34,77218.719,27937.7405269,0.361800103508,2010-11-07,-0.1282051282051282,4.588958369116687e-06,2.1251479237118048e-05
